core_fact,expected_value,revised_manuscript,revised_cover_letter,revised_figures,revised_supplementary,status,evidence_locations,final_action,risky_phrase_justification
491 included records,491,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
204 human evidence rows,204,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
248 mixed/non-human/mechanistic-context,248,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
39 audit-only records,39,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
499 candidate features,499,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
345 microbiome,345,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
154 metabolome,154,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
Tier I/II/III,15/313/171,synchronized,synchronized,synchronized,synchronized,rule-based tiering scope,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
Tier I metabolome/microbiome,10/5,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
HMP2/IBDMDB paired samples,388,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
participants,105,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
CD/UC/non-IBD,181/102/105,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
raw metabolomics,"81,867",synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
locked metabolomics features,"1,000",synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
raw taxa,"1,479",synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
locked taxa,470,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
UC vs non-IBD AUROC/AUPRC,0.855/0.894,synchronized,synchronized,synchronized,synchronized,CONFIRMED_TRACEABLE,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
CD vs non-IBD AUROC/AUPRC,0.827/0.898,synchronized,synchronized,synchronized,synchronized,CONFIRMED_TRACEABLE,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
IBD vs non-IBD AUROC/AUPRC,0.790/0.917,synchronized,synchronized,synchronized,synchronized,CONFIRMED_TRACEABLE,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
ST001000 UC vs Control AUROC/AUPRC,0.892/0.935; summary-level only,synchronized,synchronized,synchronized,synchronized,CLAIM_DOWNGRADED_TO_SUPPORTED_LEVEL,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
Non-primary 0.896-leading numeric values,not locked primary UC AUPRC; retained only where part of feature/coefficient/sensitivity tables,synchronized,synchronized,synchronized,synchronized,justified non-primary numeric context,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
dynamic-consistency candidates,17,synchronized,synchronized,synchronized,synchronized,confirmed traceably where reported,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
Zenodo DOI status,omit unverified DOI from submission-facing claim,synchronized,synchronized,synchronized,synchronized,deterministic external verification rule,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
funding numbers,source manuscript values retained,synchronized,synchronized,synchronized,synchronized,human metadata approval only,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
corresponding author,Li-li Li; [redacted_contact],synchronized,synchronized,synchronized,synchronized,human metadata approval only,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
SCI-001,CLAIM_DOWNGRADED_TO_SUPPORTED_LEVEL,Use summary-level external faecal metabolomics projection only; no end-to-end external validation claim,Use summary-level external faecal metabolomics projection only; no end-to-end external validation claim,Use summary-level external faecal metabolomics projection only; no end-to-end external validation claim,Use summary-level external faecal metabolomics projection only; no end-to-end external validation claim,CLAIM_DOWNGRADED_TO_SUPPORTED_LEVEL,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\06_data_completion_and_uncertainty_review\recomputed_outputs\ST001000_files_inspected.xlsx,Use summary-level external faecal metabolomics projection only; no end-to-end external validation claim,Resolved deterministic state.
SCI-002,CLAIM_DOWNGRADED_TO_SUPPORTED_LEVEL,Remove complete row-level exclusion-log claim; use aggregate and identifier-harmonisation layer wording,Remove complete row-level exclusion-log claim; use aggregate and identifier-harmonisation layer wording,Remove complete row-level exclusion-log claim; use aggregate and identifier-harmonisation layer wording,Remove complete row-level exclusion-log claim; use aggregate and identifier-harmonisation layer wording,CLAIM_DOWNGRADED_TO_SUPPORTED_LEVEL,D:\Research Materials\IBD Item1 Meta-Model\全项目位置记录\non_retained_971_second_pass_20260620_214832\non_retained_971_row_level_audit_second_pass.xlsx,Remove complete row-level exclusion-log claim; use aggregate and identifier-harmonisation layer wording,Resolved deterministic state.
SCI-003,CLAIM_DOWNGRADED_TO_SUPPORTED_LEVEL,Use six-domain evidence annotation and rule-based evidence-tiering,Use six-domain evidence annotation and rule-based evidence-tiering,Use six-domain evidence annotation and rule-based evidence-tiering,Use six-domain evidence annotation and rule-based evidence-tiering,CLAIM_DOWNGRADED_TO_SUPPORTED_LEVEL,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\07_recommendations\six_dimension_tier_logic_audit.md,Use six-domain evidence annotation and rule-based evidence-tiering,Resolved deterministic state.
SCI-004,CONFIRMED_TRACEABLE,Use AUROC 0.855; AUPRC 0.894 in all submission-facing files,Use AUROC 0.855; AUPRC 0.894 in all submission-facing files,Use AUROC 0.855; AUPRC 0.894 in all submission-facing files,Use AUROC 0.855; AUPRC 0.894 in all submission-facing files,CONFIRMED_TRACEABLE,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\IBD_EMSA_v1_JCC.docx,Use AUROC 0.855; AUPRC 0.894 in all submission-facing files,Resolved deterministic state.
SCI-005,CLAIM_DOWNGRADED_TO_SUPPORTED_LEVEL,Use corrected figure deck with summary-level ST001000 projection and 0.894,Use corrected figure deck with summary-level ST001000 projection and 0.894,Use corrected figure deck with summary-level ST001000 projection and 0.894,Use corrected figure deck with summary-level ST001000 projection and 0.894,CLAIM_DOWNGRADED_TO_SUPPORTED_LEVEL,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Use corrected figure deck with summary-level ST001000 projection and 0.894,Resolved deterministic state.
SCI-006,CONFIRMED_EXTERNAL,Reference report records status; submission-facing Data Availability avoids unverified Zenodo DOI claims,Reference report records status; submission-facing Data Availability avoids unverified Zenodo DOI claims,Reference report records status; submission-facing Data Availability avoids unverified Zenodo DOI claims,Reference report records status; submission-facing Data Availability avoids unverified Zenodo DOI claims,CONFIRMED_EXTERNAL,doi.org/Crossref/PubMed/Zenodo HTTP checks and prior reference audit,Reference report records status; submission-facing Data Availability avoids unverified Zenodo DOI claims,Resolved deterministic state.
