task,locked_feature_id,locked_feature_name,locked_HMDB,locked_KEGG,locked_mz,locked_RT,locked_adduct,locked_coefficient,st001000_feature_id,st001000_feature_name,st001000_HMDB,st001000_KEGG,st001000_mz,st001000_RT,st001000_adduct,match_type,match_confidence,matched_yes_no,unmatched_reason,manual_review_yes_no,included_in_projection,source_locked_model_file,source_st001000_file,notes
nonIBD vs IBD,HILp_QI1332,,,,137.0955,1.84,,-0.1458024956606849,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C18n_QI10504,,,,510.3222,11.89,,0.1296584281688421,C18-neg_Cluster_1648,510.322_11.73,,,510.322,11.73,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001880_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
nonIBD vs IBD,HILp_TF15,pyridoxine,HMDB00239,,170.0815,5.94,,0.1231582706131909,170.0804_5.92,170.0804_5.92,,,170.0804,5.92,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
nonIBD vs IBD,C18n_QI35,arachidonate,HMDB01043,,303.2333,13.93,,0.121260244594222,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C18n_QI10930,,,,524.302,10.34,,0.1133306893363446,C18-neg_Cluster_1718,524.3011_10.22,,,524.3011,10.22,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001880_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
nonIBD vs IBD,HILp_QI3932,,,,198.0754,4.07,,-0.1132075713335137,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI13176,,,,455.188,5.83,,-0.1110496937822912,455.1867_5.95,455.1867_5.95,,,455.1867,5.95,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
nonIBD vs IBD,C18n_QI10987,,,,526.3171,10.34,,0.1104248295113176,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI12815,,,,439.1654,2.83,,0.1089445327464727,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI6458,,,,254.1492,6.05,,0.10677678153486,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI22759,,,,641.9086,9.36,,-0.1041722864232517,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C18n_QI709,,,,150.0549,1.03,,0.1023478207081251,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI23185,,,,656.4145,8.86,,-0.1008239433486578,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILn_QI5076,,,,280.1403,2.53,,-0.09986357627592374,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILn_QI1594,,,,152.0354,4.16,,0.09850781541518021,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILn_QI2948,,,,317.0785,4.07,,-0.09292388127531305,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI12132,,,,412.2855,5.24,,-0.09205661691603291,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C18n_QI1325,,,,194.0451,1.03,,0.08612752344495493,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI18579,,,,572.0304,14.68,,0.08606643801737604,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C8p_QI28914,,,,982.2367,3.93,,-0.0849722660746698,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI19479,,,,584.66,8.78,,-0.08452679137286985,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILn_QI20568,,,,335.1699,1.07,,-0.08416506927745711,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,C18n_QI13827,,,,815.5686,7.27,,0.08372742238953988,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI24573,,,,714.0478,9.84,,0.08338118714254539,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILn_QI2242,,,,194.046,3.93,,0.08325827025129429,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI1332,,,,137.0955,1.84,,-0.1596078614769561,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,C18n_QI35,arachidonate,HMDB01043,,303.2333,13.93,,0.1201702603836413,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI23185,,,,656.4145,8.86,,-0.1120115704907604,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI6458,,,,254.1492,6.05,,0.1081541838146797,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,C18n_QI10504,,,,510.3222,11.89,,0.1068470505367871,C18-neg_Cluster_1648,510.322_11.73,,,510.322,11.73,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001880_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
CD vs nonIBD,HILp_TF15,pyridoxine,HMDB00239,,170.0815,5.94,,0.1055462399395081,170.0804_5.92,170.0804_5.92,,,170.0804,5.92,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
CD vs nonIBD,HILn_QI4049,,,,321.1351,3.23,,-0.1048923304808628,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI5076,,,,280.1403,2.53,,-0.1020699751538449,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI22759,,,,641.9086,9.36,,-0.1015362450174312,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI2238,,,,158.0807,3.72,,-0.1002676643216094,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI3932,,,,198.0754,4.07,,-0.09918485855166843,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI33297,,,,415.1796,5.87,,0.09840744622881517,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI24573,,,,714.0478,9.84,,0.09739773853578955,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI12914,,,,443.2298,6.1,,-0.09463425064093182,443.2268_6.04,443.2268_6.04,,,443.2268,6.04,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
CD vs nonIBD,HILp_QI11286,,,,375.2622,8.71,,0.0944516890085847,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI28647,,,,247.0414,5.3,,-0.09376834424273858,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI19298,,,,581.6232,9.48,,-0.09247423812364944,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI8817,,,,467.302,3.43,,-0.08996033914282289,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,C18n_QI10987,,,,526.3171,10.34,,0.08883560775642746,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI2948,,,,317.0785,4.07,,-0.08813748698886328,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,C8p_QI27327,,,,878.5852,9.18,,0.08723415963194386,C8-pos_Cluster_2145,878.5864_9.08,,,878.5864,9.08,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001881_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
CD vs nonIBD,HILp_QI23899,,,,679.2647,10.78,,0.08692772441714347,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI12234,,,,416.2783,2.27,,0.08630066583681659,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI3392,,,,395.0079,1.43,,-0.08617853672272617,395.0065_1.5,395.0065_1.5,,,395.0065,1.5,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001879_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
