panel,panel_status,fallback_reason,displayed_element,displayed_value,source_file,source_sheet,source_column,source_row_or_rule,transformation,verification_status,notes,hub_node_id,feature_name,feature_id,module_assignment,omics_layer,label_mode,duplicate_name_group,edge_mode
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,Butyric acid,<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == metabolite__Butyric_acid,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,metabolite__Butyric_acid,Butyric acid,metabolite__Butyric_acid,SCFAs / butyrate-producing taxa,metabolome,individual label,,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,Deoxycarnitine,<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == metabolite__Deoxycarnitine,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,metabolite__Deoxycarnitine,Deoxycarnitine,metabolite__Deoxycarnitine,Bile acids,metabolome,individual label,,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,Deoxycholate,<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == metabolite__Deoxycholate,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,metabolite__Deoxycholate,Deoxycholate,metabolite__Deoxycholate,Bile acids,metabolome,individual label,,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,Isobutyric acid,<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == metabolite__Isobutyric_acid,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,metabolite__Isobutyric_acid,Isobutyric acid,metabolite__Isobutyric_acid,SCFAs / butyrate-producing taxa,metabolome,individual label,,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,Lysine,<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == metabolite__Lysine,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,metabolite__Lysine,Lysine,metabolite__Lysine,Amino acids / aromatic amino acids,metabolome,individual label,,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,Phenylacetic acid,<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == metabolite__Phenylacetic_acid,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,metabolite__Phenylacetic_acid,Phenylacetic acid,metabolite__Phenylacetic_acid,Amino acids / aromatic amino acids,metabolome,individual label,,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,Phenylalanine,<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == metabolite__Phenylalanine,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,metabolite__Phenylalanine,Phenylalanine,metabolite__Phenylalanine,Amino acids / aromatic amino acids,metabolome,individual label,,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,"p-Hydroxyphenylacetic
acid",<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == metabolite__p-Hydroxyphenylacetic_acid,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,metabolite__p-Hydroxyphenylacetic_acid,p-Hydroxyphenylacetic acid,metabolite__p-Hydroxyphenylacetic_acid,Amino acids / aromatic amino acids,metabolome,individual label,,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,"Ruminococcus
bicirculans / SGB4262",<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == microbe__kSGB_4262:Species:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus_s__Ruminococcus_bicirculans_t__SGB4262__dup7,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,microbe__kSGB_4262:Species:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus_s__Ruminococcus_bicirculans_t__SGB4262__dup7,Ruminococcus bicirculans / SGB4262,microbe__kSGB_4262:Species:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus_s__Ruminococcus_bicirculans_t__SGB4262__dup7,SCFAs / butyrate-producing taxa,microbiome,individual label,,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,"hydroxy stearic acid-C18:1
(metabolome)",<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == metabolome::metabolite__hydroxy_stearic_acid-C18:1,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,metabolome::metabolite__hydroxy_stearic_acid-C18:1,hydroxy stearic acid-C18:1 (metabolome),metabolome::metabolite__hydroxy_stearic_acid-C18:1,Oxidative stress-related lipids,metabolome,individual label,hydroxy stearic acid-C18:1,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,"hydroxy stearic acid-C18:1
(microbiome)",<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == microbiome::microbe__hydroxy_stearic_acid-C18:1,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,microbiome::microbe__hydroxy_stearic_acid-C18:1,hydroxy stearic acid-C18:1 (microbiome),microbiome::microbe__hydroxy_stearic_acid-C18:1,Oxidative stress-related lipids,microbiome,individual label,hydroxy stearic acid-C18:1,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,"Ruminococcaceae-related
SGB15260",<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == microbe__uSGB_15260:Family:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__GGB9715_s__GGB9715_SGB15260_t__SGB15260__dup5,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,microbe__uSGB_15260:Family:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__GGB9715_s__GGB9715_SGB15260_t__SGB15260__dup5,GGB9715 SGB15260,microbe__uSGB_15260:Family:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__GGB9715_s__GGB9715_SGB15260_t__SGB15260__dup5,SCFAs / butyrate-producing taxa,microbiome,individual label,,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,"Subdoligranulum sp.
/ SGB15286",<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == microbe__kSGB_15286:Species:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Subdoligranulum_s__Subdoligranulum_sp_APC924_74_t__SGB15286__dup2,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,microbe__kSGB_15286:Species:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Subdoligranulum_s__Subdoligranulum_sp_APC924_74_t__SGB15286__dup2,Subdoligranulum sp. / SGB15286,microbe__kSGB_15286:Species:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Subdoligranulum_s__Subdoligranulum_sp_APC924_74_t__SGB15286__dup2,SCFAs / butyrate-producing taxa,microbiome,individual label,,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,"cholic acid-C14:0
(metabolome)",<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == metabolome::metabolite__cholic_acid-C14:0,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,metabolome::metabolite__cholic_acid-C14:0,cholic acid-C14:0 (metabolome),metabolome::metabolite__cholic_acid-C14:0,Bile acids,metabolome,individual label,cholic acid-C14:0,schematic
A,limited-evidence panel,Tier I hub nodes and module membership are source-derived; supporting association background is schematic when no empirical edge table is available.,Tier I hub node,"cholic acid-C14:0
(microbiome)",<PROJECT_ROOT>\Figures Tables\Charts\Figure4\data_processed\figure4_tier1_master_table.csv,figure4_tier1_master_table.csv,feature_id; standardized_feature_name; assigned_figure4_module; omics_layer,feature_id == microbiome::microbe__cholic_acid-C14:0,Tier I row drawn as one hub node; duplicate names receive source-derived omics suffix labels.,verified,Tier I hubs and module composition follow manuscript-defined features; supporting network background is schematic unless replaced by empirical association data.,microbiome::microbe__cholic_acid-C14:0,cholic acid-C14:0 (microbiome),microbiome::microbe__cholic_acid-C14:0,Bile acids,microbiome,individual label,cholic acid-C14:0,schematic
